--- TERRAIN DATA ---
Columns: ['지형셀ID', '지형명', '지형유형', '기동성등급', '방어유리도', '관측유리도', '요충지여부', '좌표정보', '설명']

TERR001 | 321고지 | 127.1000, 38.1000
TERR002 | 계곡지대 | 126.8500, 38.1200
TERR003 | 능선503 | 127.1500, 38.1500
TERR004 | 마을A | 126.9000, 38.0800
TERR005 | 임도교차로 | 127.0000, 38.2500
TERR006 | 212고지 | 126.8000, 38.1500
TERR007 | 개활지1 | 126.7000, 38.2000
TERR008 | 하천둔치 | 126.8000, 38.2000
TERR009 | 도로전개지 | 126.7500, 38.1000
TERR010 | 고지245 | 127.0000, 38.0500
TERR011 | 평양 | 125.7625, 39.0392
TERR012 | 개성 | 126.5519, 37.9704
TERR013 | 사리원 | 125.7537, 38.5085
TERR014 | 원산 | 127.4439, 39.1552
TERR015 | 함흥 | 127.5358, 39.9183
TERR016 | 해주 | 125.7147, 38.0406
TERR017 | 철원(북) | 127.3133, 38.3000
TERR018 | 강원(북) | 128.0000, 38.5000
TERR019 | 평안남도 | 126.0000, 39.3000
TERR020 | 황해북도 | 126.3000, 38.7000
TERR021 | 파주(문산) | 126.7800, 37.8500
TERR022 | 파주(법원) | 126.9000, 37.8200
TERR023 | 연천(전곡) | 127.0600, 38.0200
TERR024 | 양주(광적) | 126.9800, 37.8200
TERR025 | 동두천 | 127.0500, 37.9000
TERR026 | 포천 | 127.2000, 37.8900
TERR027 | 고양(일산) | 126.7700, 37.6600
TERR028 | 의정부 | 127.0400, 37.7400
TERR029 | 김포 | 126.7000, 37.6200
TERR030 | 철원(남) | 127.2500, 38.1500

--- AXIS DATA ---
Columns: ['축선ID', '축선명', '축선유형', '시작지형셀ID', '종단지형셀ID', '주요지형셀목록', '축선설명', '거리_km']

AXIS01 | 동부 주공축선 | TERR001 -> TERR005
AXIS02 | 동부 조공축선 | TERR002 -> TERR006
AXIS03 | 서부 차단축선 | TERR007 -> TERR009
AXIS04 | 서부 조공 | TERR008 -> TERR010
AXIS05 | 동부 예비축선 | TERR003 -> TERR004
AXIS06 | 남부 예비축선 | TERR002 -> TERR004
AXIS07 | 북부 방어축선 | TERR005 -> TERR007
AXIS08 | 북부 보조축선 | TERR006 -> TERR008
AXIS09 | 북부 예비축선 | TERR005 -> TERR009
AXIS10 | 기만축선 | TERR003 -> TERR002
